1001952030	20200901	202009	2020	2020.6603	BUS	BUSINESS						BUS			USA	NEW HAMPSHIRE	USA								1	043	043	04	1	2.8	7	1	7	4.02010050251256	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	20210901031500	https://www.unionleader.com/news/business/bia-annual-dinner-returns-to-in-person-event/article_d9f96ff1-81c8-5ef8-a515-7043948be133.html
1001952031	20200901	202009	2020	2020.6603	CHN	CHINESE	CHN								EDU	SCHOOL						EDU			1	020	020	02	1	3.0	10	1	10	-2.40549828178694	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20210901031500	https://www.news24.com/parent/learn/learning-difficulties/china-bans-written-exams-for-grade-1-students-20210831
1001952032	20200901	202009	2020	2020.6603	CHN	CHINESE	CHN								EDU	SCHOOL						EDU			1	090	090	09	2	-2.0	10	1	10	-2.40549828178694	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20210901031500	https://www.news24.com/parent/learn/learning-difficulties/china-bans-written-exams-for-grade-1-students-20210831
1001952033	20200901	202009	2020	2020.6603	CVL	COMMUNITY						CVL													0	160	160	16	4	-4.0	10	1	10	-1.07913669064749	4	Metro Manila, Philippines (general), Philippines	RP	RP00	24210	14.5833	121	-2439768	0								4	Metro Manila, Philippines (general), Philippines	RP	RP00	24210	14.5833	121	-2439768	20210901031500	https://philkotse.com/market-news/duterte-wants-experts-to-study-benefits-localized-lockdowns-11243
1001952034	20200901	202009	2020	2020.6603	GOV	PRESIDENT						GOV			AFG	AFGHANISTAN	AFG								0	0356	035	03	1	7.0	10	1	10	-3.698224852071	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20210901031500	https://www.washingtonpost.com/business/afghanistan-and-the-return-of-cruise-missile-diplomacy/2021/08/31/697caf8e-0acf-11ec-a7c8-61bb7b3bf628_story.html
1001952035	20200901	202009	2020	2020.6603	GOV	PRESIDENT						GOV			AFG	AFGHANISTAN	AFG								0	0874	087	08	2	10.0	10	1	10	-3.698224852071	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20210901031500	https://www.washingtonpost.com/business/afghanistan-and-the-return-of-cruise-missile-diplomacy/2021/08/31/697caf8e-0acf-11ec-a7c8-61bb7b3bf628_story.html
1001952036	20210825	202108	2021	2021.6438											AFG	AFGHANISTAN	AFG								0	042	042	04	1	1.9	1	1	1	-2.4793388429752	0								4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	20210901031500	https://www.stwnewspress.com/news/oklahoma-congressman-s-whereabouts-unknown-after-second-attempt-to-enter-afghanistan/article_ab681344-0ace-11ec-9c5b-db56a51cda24.html
1001952037	20210825	202108	2021	2021.6438											CVL	VOTER						CVL			0	046	046	04	1	7.0	2	1	2	-0.11534025374856	0								5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20210901031500	https://lfpress.com/news/national/election-2021/theres-a-reason-london-hasnt-seen-any-federal-leaders-so-far-in-the-campaign
1001952038	20210825	202108	2021	2021.6438											GBRCVL	UNITED KINGDOM	GBR					CVL			0	046	046	04	1	7.0	2	1	2	-0.11534025374856	0								5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20210901031500	https://lfpress.com/news/national/election-2021/theres-a-reason-london-hasnt-seen-any-federal-leaders-so-far-in-the-campaign
1001952039	20210825	202108	2021	2021.6438	AFG	AFGHANISTAN	AFG																		0	043	043	04	1	2.8	1	1	1	-2.4793388429752	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	0								4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	37623	38.56	68.7739	-2555530	20210901031500	https://www.stwnewspress.com/news/oklahoma-congressman-s-whereabouts-unknown-after-second-attempt-to-enter-afghanistan/article_ab681344-0ace-11ec-9c5b-db56a51cda24.html
1001952040	20210825	202108	2021	2021.6438	AUSGOV	NEW SOUTH WALES	AUS					GOV			AUS	SYDNEY	AUS								0	160	160	16	4	-4.0	10	1	10	1.11888111888112	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20210901031500	https://www.smartcompany.com.au/coronavirus/reopening-roadmap-open-letter-ceo-myob-salesforce-uber/
1001952041	20210825	202108	2021	2021.6438	CAN	CANADA	CAN								CVL	VOTER						CVL			0	046	046	04	1	7.0	1	1	1	-0.11534025374856	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20210901031500	https://lfpress.com/news/national/election-2021/theres-a-reason-london-hasnt-seen-any-federal-leaders-so-far-in-the-campaign
1001952042	20210825	202108	2021	2021.6438	CAN	CANADA	CAN								CVL	VOTER						CVL			0	046	046	04	1	7.0	1	1	1	-0.11534025374856	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	20210901031500	https://lfpress.com/news/national/election-2021/theres-a-reason-london-hasnt-seen-any-federal-leaders-so-far-in-the-campaign
1001952043	20210825	202108	2021	2021.6438	CVL	VOTER						CVL													0	046	046	04	1	7.0	2	1	2	-0.11534025374856	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20210901031500	https://lfpress.com/news/national/election-2021/theres-a-reason-london-hasnt-seen-any-federal-leaders-so-far-in-the-campaign
