1002308487	20110906	201109	2011	2011.6740	CAN	CANADIAN	CAN																		0	141	141	14	3	-6.5	3	1	3	4.0948275862069	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20210903010000	https://www.businesswire.com/news/home/20210902005876/en/Baskin-Robbins-Canada-Marks-50-Years-of-Service-to-Canadians
1002308488	20200903	202009	2020	2020.6658	AUS	AUSTRALIA	AUS								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	2	1	2	-2.29257641921397	4	Rylstone, New South Wales, Australia	AS	AS02	5096	-32.7995	149.969	-1598752	4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	20210903010000	https://www.michaelwest.com.au/wollemi-mine-experts-label-barilaros-plan-for-new-coal-corrupt-and-unviable/
1002308489	20200903	202009	2020	2020.6658	AUS	AUSTRALIA	AUS								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	6	1	6	-2.29257641921397	4	Rylstone, New South Wales, Australia	AS	AS02	5096	-32.7995	149.969	-1598752	4	Rylstone, New South Wales, Australia	AS	AS02	5096	-32.7995	149.969	-1598752	4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	20210903010000	https://www.michaelwest.com.au/wollemi-mine-experts-label-barilaros-plan-for-new-coal-corrupt-and-unviable/
1002308490	20200903	202009	2020	2020.6658	COP	PRISON						COP			IRQ	IRAQ	IRQ								0	112	112	11	3	-2.0	3	1	3	-12.0171673819743	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20210903010000	https://www.bbc.com/news/world-us-canada-58427171
1002308491	20200903	202009	2020	2020.6658	COP	PRISON						COP			IRQ	IRAQ	IRQ								0	112	112	11	3	-2.0	2	1	2	-12.0171673819743	1	Syria	SY	SY		35	38	SY	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20210903010000	https://www.bbc.com/news/world-us-canada-58427171
1002308492	20200903	202009	2020	2020.6658	CVL	SMALL TOWN						CVL			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	1	1	1	-2.29257641921397	4	Rylstone, New South Wales, Australia	AS	AS02	5096	-32.7995	149.969	-1598752	4	Rylstone, New South Wales, Australia	AS	AS02	5096	-32.7995	149.969	-1598752	4	Mudgee, New South Wales, Australia	AS	AS02	5096	-32.4333	149.583	-1589684	20210903010000	https://www.michaelwest.com.au/wollemi-mine-experts-label-barilaros-plan-for-new-coal-corrupt-and-unviable/
1002308493	20200903	202009	2020	2020.6658	EDU	STUDENT						EDU													0	010	010	01	1	0.0	4	1	4	1.58139534883721	4	Amherstburg, Ontario, Canada	CA	CA08	29990	42.1	-83.1	-560128	0								4	Amherstburg, Ontario, Canada	CA	CA08	29990	42.1	-83.1	-560128	20210903010000	https://windsorstar.com/news/local-news/local-school-boards-looking-to-assure-parents-students-about-school-safety
1002308494	20200903	202009	2020	2020.6658	EDU	STUDENT						EDU													0	010	010	01	1	0.0	6	1	6	1.58139534883721	4	Essex, Ontario, Canada	CA	CA08	12649	42.1667	-82.8167	-564336	0								4	Essex, Ontario, Canada	CA	CA08	12649	42.1667	-82.8167	-564336	20210903010000	https://windsorstar.com/news/local-news/local-school-boards-looking-to-assure-parents-students-about-school-safety
1002308495	20200903	202009	2020	2020.6658	EDU	STUDENT						EDU													0	010	010	01	1	0.0	1	1	1	-1.25	3	Des Moines, Iowa, United States	US	USIA	IA153	41.6005	-93.6091	465961	0								3	Des Moines, Iowa, United States	US	USIA		41.6005	-93.6091	465961	20210903010000	https://www.thehawkeye.com/story/news/2021/09/02/covid-19-iowa-school-nurses-face-stress-ambiguity-pandemic/8123689002/
1002308496	20200903	202009	2020	2020.6658	EDU	STUDENT						EDU													0	010	010	01	1	0.0	1	1	1	-1.25	3	Des Moines, Iowa, United States	US	USIA	IA153	41.6005	-93.6091	465961	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20210903010000	https://www.thehawkeye.com/story/news/2021/09/02/covid-19-iowa-school-nurses-face-stress-ambiguity-pandemic/8123689002/
